run_id,type,params,metrics
9cea18a640184fe7b3e1b27f148fbc32,parent,"{'params.activation': None, 'params.n_layers': None, 'params.hidden_units': None, 'params.batch_size': None, 'params.learning rate': None}","{'metrics.lowest_val_loss': nan, 'metrics.test_MAPE_norm': nan, 'metrics.test_By_MAE': nan, 'metrics.val_loss_RMSE': nan, 'metrics.test_By_MAEP': nan, 'metrics.train_loss_RMSE': nan, 'metrics.test_Bx_MAEP': nan, 'metrics.test_RMSE': nan, 'metrics.test_Bx_MAE': nan, 'metrics.test_MAE_norm': nan, 'metrics.test_Bz_MAE': nan, 'metrics.test_Bz_MAEP': nan, 'metrics.final_val_loss': nan}"
cf18d4e0109a46279be250ee9542129f,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '160', 'params.batch_size': '128', 'params.learning rate': '0.0005757975495807901'}","{'metrics.lowest_val_loss': 0.701672291234456, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.3443133533000946, 'metrics.val_loss_RMSE': 0.7270687824879173, 'metrics.test_By_MAEP': 1.8498849868774414, 'metrics.train_loss_RMSE': 0.6419247030699403, 'metrics.test_Bx_MAEP': 1.1437733173370361, 'metrics.test_RMSE': 0.7100115597002747, 'metrics.test_Bx_MAE': 0.30193638801574707, 'metrics.test_MAE_norm': 0.6032886868743805, 'metrics.test_Bz_MAE': 0.38858458399772644, 'metrics.test_Bz_MAEP': 4.343348979949951, 'metrics.final_val_loss': nan}"
718584229a9145db8cf4899064f32044,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '243', 'params.batch_size': '128', 'params.learning rate': '0.0005228144756875357'}","{'metrics.lowest_val_loss': 0.608173554420441, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.2616187036037445, 'metrics.val_loss_RMSE': 0.9571589773161056, 'metrics.test_By_MAEP': 1.4402936697006226, 'metrics.train_loss_RMSE': 0.6059559925185526, 'metrics.test_Bx_MAEP': 0.9728914499282837, 'metrics.test_RMSE': 0.6018723196882125, 'metrics.test_Bx_MAE': 0.25849008560180664, 'metrics.test_MAE_norm': 0.5010248970186881, 'metrics.test_Bz_MAE': 0.33726686239242554, 'metrics.test_Bz_MAEP': 3.8243768215179443, 'metrics.final_val_loss': nan}"
1e028c605a224a45959475d5f8e9e7c8,nested,"{'params.activation': 'wavelet', 'params.n_layers': '8', 'params.hidden_units': '250', 'params.batch_size': '128', 'params.learning rate': '0.0003981171227670023'}","{'metrics.lowest_val_loss': 1.3620810647136155, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.46109628677368164, 'metrics.val_loss_RMSE': 1.4068584438731655, 'metrics.test_By_MAEP': 2.5529625415802, 'metrics.train_loss_RMSE': 0.8892310427331089, 'metrics.test_Bx_MAEP': 1.7694895267486572, 'metrics.test_RMSE': 1.363187940454848, 'metrics.test_Bx_MAE': 0.46068456768989563, 'metrics.test_MAE_norm': 0.8884289863577299, 'metrics.test_Bz_MAE': 0.5955832600593567, 'metrics.test_Bz_MAEP': 6.630553722381592, 'metrics.final_val_loss': nan}"
b5eddb1c3d744c5998f95fa14b0dcfc4,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '240', 'params.batch_size': '128', 'params.learning rate': '0.0004890369522601971'}","{'metrics.lowest_val_loss': 0.6564421150608357, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.2778189778327942, 'metrics.val_loss_RMSE': 0.8065598901281702, 'metrics.test_By_MAEP': 1.5670194625854492, 'metrics.train_loss_RMSE': 0.6320040080577113, 'metrics.test_Bx_MAEP': 0.988534688949585, 'metrics.test_RMSE': 0.6429849241444647, 'metrics.test_Bx_MAE': 0.26220500469207764, 'metrics.test_MAE_norm': 0.5276851561366086, 'metrics.test_Bz_MAE': 0.3611489236354828, 'metrics.test_Bz_MAEP': 4.240574836730957, 'metrics.final_val_loss': nan}"
95643871a3cb47089169002adc6efc0b,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '245', 'params.batch_size': '128', 'params.learning rate': '0.000441611542931963'}","{'metrics.lowest_val_loss': 0.6682127610769867, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.297208309173584, 'metrics.val_loss_RMSE': 0.6837612642673706, 'metrics.test_By_MAEP': 1.6937263011932373, 'metrics.train_loss_RMSE': 0.49801325523843476, 'metrics.test_Bx_MAEP': 1.0916639566421509, 'metrics.test_RMSE': 0.6680606979529963, 'metrics.test_Bx_MAE': 0.28824225068092346, 'metrics.test_MAE_norm': 0.5414531129684175, 'metrics.test_Bz_MAE': 0.3450392782688141, 'metrics.test_Bz_MAEP': 4.027951240539551, 'metrics.final_val_loss': nan}"
787db843c6f945d4b057bf421792d184,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '239', 'params.batch_size': '128', 'params.learning rate': '0.0005520383033981243'}","{'metrics.lowest_val_loss': 0.6390808991245741, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.2882295250892639, 'metrics.val_loss_RMSE': 0.6811708915330631, 'metrics.test_By_MAEP': 1.622145414352417, 'metrics.train_loss_RMSE': 0.48348557087360067, 'metrics.test_Bx_MAEP': 1.0067285299301147, 'metrics.test_RMSE': 0.6358073970613348, 'metrics.test_Bx_MAE': 0.2675892412662506, 'metrics.test_MAE_norm': 0.522649014252795, 'metrics.test_Bz_MAE': 0.3406716585159302, 'metrics.test_Bz_MAEP': 4.213815689086914, 'metrics.final_val_loss': nan}"
8434e1b1860842d5ba3bd33fb755791f,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '246', 'params.batch_size': '128', 'params.learning rate': '0.0004014336792147568'}","{'metrics.lowest_val_loss': 0.6358198794626378, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.2663913369178772, 'metrics.val_loss_RMSE': 0.941470345365003, 'metrics.test_By_MAEP': 1.562061071395874, 'metrics.train_loss_RMSE': 0.7176213181552963, 'metrics.test_Bx_MAEP': 0.9531530141830444, 'metrics.test_RMSE': 0.6327458593925246, 'metrics.test_Bx_MAE': 0.2514575719833374, 'metrics.test_MAE_norm': 0.5005258736713081, 'metrics.test_Bz_MAE': 0.3378538489341736, 'metrics.test_Bz_MAEP': 3.961618423461914, 'metrics.final_val_loss': nan}"
798d2cca94f641648128149ef2676d6c,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '244', 'params.batch_size': '128', 'params.learning rate': '0.0004698888865144601'}","{'metrics.lowest_val_loss': 0.620057616441324, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.26463815569877625, 'metrics.val_loss_RMSE': 0.6695477288699229, 'metrics.test_By_MAEP': 1.439695954322815, 'metrics.train_loss_RMSE': 0.544567111389077, 'metrics.test_Bx_MAEP': 0.9680252075195312, 'metrics.test_RMSE': 0.6240123215335176, 'metrics.test_Bx_MAE': 0.2540949285030365, 'metrics.test_MAE_norm': 0.4983572969881541, 'metrics.test_Bz_MAE': 0.3339290916919708, 'metrics.test_Bz_MAEP': 3.597956418991089, 'metrics.final_val_loss': nan}"
5913f087dd554f59a16ab461b503eb43,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '245', 'params.batch_size': '128', 'params.learning rate': '0.00045596527408291426'}","{'metrics.lowest_val_loss': 0.6174974189244438, 'metrics.test_MAPE_norm': inf, 'metrics.test_By_MAE': 0.2598324120044708, 'metrics.val_loss_RMSE': 0.6174974189244438, 'metrics.test_By_MAEP': 1.5639684200286865, 'metrics.train_loss_RMSE': 0.5189773078039425, 'metrics.test_Bx_MAEP': 1.0278459787368774, 'metrics.test_RMSE': 0.6208800494947879, 'metrics.test_Bx_MAE': 0.273955762386322, 'metrics.test_MAE_norm': 0.49504259000554607, 'metrics.test_Bz_MAE': 0.31681784987449646, 'metrics.test_Bz_MAEP': 3.6596856117248535, 'metrics.final_val_loss': nan}"
