run_id,type,params,metrics
82de4004537747a191926f1634df38d2,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '421', 'params.batch_size': '192', 'params.learning rate': '0.0004148177816274093'}","{'metrics.lowest_val_loss': 0.5736402573975286, 'metrics.test_MAPE_norm': 0.08237239638035246, 'metrics.test_By_MAE': 0.2344440519809723, 'metrics.val_loss_RMSE': 0.609901980840527, 'metrics.test_By_MAEP': 0.08900299668312073, 'metrics.train_loss_RMSE': 0.4405791640914194, 'metrics.test_Bx_MAEP': 0.09140211343765259, 'metrics.test_RMSE': 0.5704295379087952, 'metrics.test_Bx_MAE': 0.23008239269256592, 'metrics.test_MAE_norm': 0.43982898910268603, 'metrics.test_Bz_MAE': 0.29044049978256226, 'metrics.test_Bz_MAEP': 0.07534535974264145, 'metrics.final_val_loss': nan}"
560f5ad58f744b84abe7047badff9db3,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '418', 'params.batch_size': '192', 'params.learning rate': '0.00041212785466544224'}","{'metrics.lowest_val_loss': 0.544210659668322, 'metrics.test_MAPE_norm': 0.07595230523738072, 'metrics.test_By_MAE': 0.20945049822330475, 'metrics.val_loss_RMSE': 0.9888069567529023, 'metrics.test_By_MAEP': 0.07961978018283844, 'metrics.train_loss_RMSE': 0.6440571528787808, 'metrics.test_Bx_MAEP': 0.08328630775213242, 'metrics.test_RMSE': 0.5407258922333518, 'metrics.test_Bx_MAE': 0.209634467959404, 'metrics.test_MAE_norm': 0.40574751269045495, 'metrics.test_Bz_MAE': 0.2748553156852722, 'metrics.test_Bz_MAEP': 0.07120615988969803, 'metrics.final_val_loss': nan}"
9c0172b32ed74bd3bbd7023e60bba720,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '435', 'params.batch_size': '192', 'params.learning rate': '0.00047331682252538964'}","{'metrics.lowest_val_loss': 0.5524018148471809, 'metrics.test_MAPE_norm': 0.07924246552179186, 'metrics.test_By_MAE': 0.2293362319469452, 'metrics.val_loss_RMSE': 0.6043556353492409, 'metrics.test_By_MAEP': 0.08717934787273407, 'metrics.train_loss_RMSE': 0.4865464858845055, 'metrics.test_Bx_MAEP': 0.08751537650823593, 'metrics.test_RMSE': 0.5504193731432622, 'metrics.test_Bx_MAE': 0.22021865844726562, 'metrics.test_MAE_norm': 0.4227419969418066, 'metrics.test_Bz_MAE': 0.2767128646373749, 'metrics.test_Bz_MAEP': 0.071889229118824, 'metrics.final_val_loss': nan}"
2272d98ea6fb490097de43a1e82e9030,nested,"{'params.activation': 'ReLU', 'params.n_layers': '6', 'params.hidden_units': '356', 'params.batch_size': '192', 'params.learning rate': '0.00044522849455594604'}","{'metrics.lowest_val_loss': 0.5685343653232315, 'metrics.test_MAPE_norm': 0.08340405067093938, 'metrics.test_By_MAE': 0.23896779119968414, 'metrics.val_loss_RMSE': 0.8508403841180251, 'metrics.test_By_MAEP': 0.09071660041809082, 'metrics.train_loss_RMSE': 0.5011953025833633, 'metrics.test_Bx_MAEP': 0.09176501631736755, 'metrics.test_RMSE': 0.5743470922484656, 'metrics.test_Bx_MAE': 0.230718195438385, 'metrics.test_MAE_norm': 0.44527427326861047, 'metrics.test_Bz_MAE': 0.29440006613731384, 'metrics.test_Bz_MAEP': 0.0763639286160469, 'metrics.final_val_loss': nan}"
4c5c80adaf194e99b2b370fa5ebeb188,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '493', 'params.batch_size': '192', 'params.learning rate': '0.0004621915925368929'}","{'metrics.lowest_val_loss': 0.5744951146213985, 'metrics.test_MAPE_norm': 0.08161085072181208, 'metrics.test_By_MAE': 0.22746478021144867, 'metrics.val_loss_RMSE': 0.8322048215659089, 'metrics.test_By_MAEP': 0.0864800214767456, 'metrics.train_loss_RMSE': 0.68282154805697, 'metrics.test_Bx_MAEP': 0.08983033895492554, 'metrics.test_RMSE': 0.5764331648913202, 'metrics.test_Bx_MAE': 0.22602027654647827, 'metrics.test_MAE_norm': 0.43520987612738027, 'metrics.test_Bz_MAE': 0.29215922951698303, 'metrics.test_Bz_MAEP': 0.07589752227067947, 'metrics.final_val_loss': nan}"
e36e9c66198742dba7f2bd05f3c47acc,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '365', 'params.batch_size': '192', 'params.learning rate': '0.00042522999013351446'}","{'metrics.lowest_val_loss': 0.5784184863811009, 'metrics.test_MAPE_norm': 0.08248870573241077, 'metrics.test_By_MAE': 0.22477348148822784, 'metrics.val_loss_RMSE': 0.6581758878087792, 'metrics.test_By_MAEP': 0.08535131812095642, 'metrics.train_loss_RMSE': 0.4512167412750212, 'metrics.test_Bx_MAEP': 0.08673015981912613, 'metrics.test_RMSE': 0.5738306197465447, 'metrics.test_Bx_MAE': 0.2183157056570053, 'metrics.test_MAE_norm': 0.4402913024528421, 'metrics.test_Bz_MAE': 0.3076673746109009, 'metrics.test_Bz_MAEP': 0.07990987598896027, 'metrics.final_val_loss': nan}"
a8141ba7ce534521a2c567cdcdd38bf4,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '323', 'params.batch_size': '192', 'params.learning rate': '0.0004968145393940162'}","{'metrics.lowest_val_loss': 0.5806799726406209, 'metrics.test_MAPE_norm': 0.08301055436726097, 'metrics.test_By_MAE': 0.22536779940128326, 'metrics.val_loss_RMSE': 0.5923582271786554, 'metrics.test_By_MAEP': 0.08549827337265015, 'metrics.train_loss_RMSE': 0.6590638612957217, 'metrics.test_Bx_MAEP': 0.09342052042484283, 'metrics.test_RMSE': 0.5689522650013562, 'metrics.test_Bx_MAE': 0.23471346497535706, 'metrics.test_MAE_norm': 0.4427064554296809, 'metrics.test_Bz_MAE': 0.29818296432495117, 'metrics.test_Bz_MAEP': 0.07751783728599548, 'metrics.final_val_loss': nan}"
27418d1706d94d6885858f57ed7d8367,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '376', 'params.batch_size': '192', 'params.learning rate': '0.00045540107512528243'}","{'metrics.lowest_val_loss': 0.5658442001115311, 'metrics.test_MAPE_norm': 0.07929522635267792, 'metrics.test_By_MAE': 0.227203831076622, 'metrics.val_loss_RMSE': 0.8888327028338383, 'metrics.test_By_MAEP': 0.08639033138751984, 'metrics.train_loss_RMSE': 0.7008892167674519, 'metrics.test_Bx_MAEP': 0.08544094115495682, 'metrics.test_RMSE': 0.5524936412359801, 'metrics.test_Bx_MAE': 0.21476902067661285, 'metrics.test_MAE_norm': 0.423016839533401, 'metrics.test_Bz_MAE': 0.2828860580921173, 'metrics.test_Bz_MAEP': 0.07349711656570435, 'metrics.final_val_loss': nan}"
5028a5016780435a97018b4394a5b9fd,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '368', 'params.batch_size': '192', 'params.learning rate': '0.0004380002408732525'}","{'metrics.lowest_val_loss': 0.5508988071326654, 'metrics.test_MAPE_norm': 0.07718013243066321, 'metrics.test_By_MAE': 0.21163210272789001, 'metrics.val_loss_RMSE': 0.8017660247004775, 'metrics.test_By_MAEP': 0.0803380012512207, 'metrics.train_loss_RMSE': 0.40250852100191553, 'metrics.test_Bx_MAEP': 0.08759058266878128, 'metrics.test_RMSE': 0.5466137795369267, 'metrics.test_Bx_MAE': 0.22040018439292908, 'metrics.test_MAE_norm': 0.4119104099788254, 'metrics.test_Bz_MAE': 0.27413445711135864, 'metrics.test_Bz_MAEP': 0.07113638520240784, 'metrics.final_val_loss': nan}"
f76e02b1ea6f4c23bb2879f54dd0b939,nested,"{'params.activation': 'leaky_ReLU', 'params.n_layers': '6', 'params.hidden_units': '340', 'params.batch_size': '192', 'params.learning rate': '0.0004689198136298764'}","{'metrics.lowest_val_loss': 0.5661327311418062, 'metrics.test_MAPE_norm': 0.07993641694029457, 'metrics.test_By_MAE': 0.22513283789157867, 'metrics.val_loss_RMSE': 0.6909978926929379, 'metrics.test_By_MAEP': 0.08553092181682587, 'metrics.train_loss_RMSE': 0.46945934301204506, 'metrics.test_Bx_MAEP': 0.08848460763692856, 'metrics.test_RMSE': 0.5550020451156179, 'metrics.test_Bx_MAE': 0.22251801192760468, 'metrics.test_MAE_norm': 0.42652443051338196, 'metrics.test_Bz_MAE': 0.2840006351470947, 'metrics.test_Bz_MAEP': 0.07375045120716095, 'metrics.final_val_loss': nan}"
