TimeStamp,cmdCoilCurrent_1(A),cmdCoilCurrent_2(A),cmdCoilCurrent_3(A),cmdCoilCurrent_4(A),cmdCoilCurrent_5(A),cmdCoilCurrent_6(A),cmdCoilCurrent_7(A),cmdCoilCurrent_8(A),msdCoilCurrent_1(A),msdCoilCurrent_2(A),msdCoilCurrent_3(A),msdCoilCurrent_4(A),msdCoilCurrent_5(A),msdCoilCurrent_6(A),msdCoilCurrent_7(A),msdCoilCurrent_8(A),msdCoilTemp_1(degC),msdCoilTemp_2(degC),msdCoilTemp_3(degC),msdCoilTemp_4(degC),msdCoilTemp_5(degC),msdCoilTemp_6(degC),msdCoilTemp_7(degC),msdCoilTemp_8(degC),Sensor_1_dir_x,Sensor_1_dir_y,Sensor_1_dir_z,Sensor_2_dir_x,Sensor_2_dir_y,Sensor_2_dir_z,Sensor_3_dir_x,Sensor_3_dir_y,Sensor_3_dir_z,Sensor_4_dir_x,Sensor_4_dir_y,Sensor_4_dir_z,Sensor_5_dir_x,Sensor_5_dir_y,Sensor_5_dir_z,Sensor_6_dir_x,Sensor_6_dir_y,Sensor_6_dir_z,Sensor_7_dir_x,Sensor_7_dir_y,Sensor_7_dir_z,Sensor_8_dir_x,Sensor_8_dir_y,Sensor_8_dir_z,Sensor_9_dir_x,Sensor_9_dir_y,Sensor_9_dir_z,Sensor_10_dir_x,Sensor_10_dir_y,Sensor_10_dir_z,Sensor_11_dir_x,Sensor_11_dir_y,Sensor_11_dir_z,Sensor_12_dir_x,Sensor_12_dir_y,Sensor_12_dir_z,Sensor_13_dir_x,Sensor_13_dir_y,Sensor_13_dir_z,Sensor_14_dir_x,Sensor_14_dir_y,Sensor_14_dir_z,Sensor_15_dir_x,Sensor_15_dir_y,Sensor_15_dir_z,Sensor_16_dir_x,Sensor_16_dir_y,Sensor_16_dir_z,sensor_1_X [mT],sensor_1_Y [mT],sensor_1_Z [mT],sensor_2_X [mT],sensor_2_Y [mT],sensor_2_Z [mT],sensor_3_X [mT],sensor_3_Y [mT],sensor_3_Z [mT],sensor_4_X [mT],sensor_4_Y [mT],sensor_4_Z [mT],sensor_5_X [mT],sensor_5_Y [mT],sensor_5_Z [mT],sensor_6_X [mT],sensor_6_Y [mT],sensor_6_Z [mT],sensor_7_X [mT],sensor_7_Y [mT],sensor_7_Z [mT],sensor_8_X [mT],sensor_8_Y [mT],sensor_8_Z [mT],sensor_9_X [mT],sensor_9_Y [mT],sensor_9_Z [mT],sensor_10_X [mT],sensor_10_Y [mT],sensor_10_Z [mT],sensor_11_X [mT],sensor_11_Y [mT],sensor_11_Z [mT],sensor_12_X [mT],sensor_12_Y [mT],sensor_12_Z [mT],sensor_13_X [mT],sensor_13_Y [mT],sensor_13_Z [mT],sensor_14_X [mT],sensor_14_Y [mT],sensor_14_Z [mT],sensor_15_X [mT],sensor_15_Y [mT],sensor_15_Z [mT],sensor_16_X [mT],sensor_16_Y [mT],sensor_16_Z [mT],delta
2024-08-07 12:44:06,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.332391021875,-0.877801871875,6.18902471875,5.64414263125,5.9754928,2.389241234375,5.60702144375,5.503187190625,58.272743225,167.30270385625,20.141601571875,18.074035646875,18.528938296875,19.4160461375,19.326210015625,25.940132140625,0.219866859375,0.22015619375,0.0400139625,0.219866859375,0.18015619375,0.0400139625,0.219866859375,0.14015619375,0.0400139625,0.219866859375,0.10015619375,0.0400139625,0.179866859375,0.10015619375,0.0400139625,0.179866859375,0.14015619375,0.0400139625,0.179866859375,0.18015619375,0.0400139625,0.179866859375,0.22015619375,0.0400139625,0.139866859375,0.22015619375,0.0400139625,0.139866859375,0.18015619375,0.0400139625,0.139866859375,0.14015619375,0.0400139625,0.139866859375,0.10015619375,0.0400139625,0.099866859375,0.10015619375,0.0400139625,0.099866859375,0.14015619375,0.0400139625,0.099866859375,0.18015619375,0.0400139625,0.099866859375,0.22015619375,0.0400139625,-0.06434999999999992,-0.02875,0.7260806666666667,-0.07005,-0.22125000000000003,0.8384493333333335,-0.13425,-0.4291,0.74294,-0.23385,-0.42535000000000006,0.5543413333333334,-0.2844,-0.50405,0.6206493333333333,-0.2576,-0.4738,0.8035206666666665,-0.23365,-0.2653999999999999,0.885478,-0.21105,-0.055999999999999994,0.7610093333333333,-0.2795,-0.10169999999999996,0.6641286666666667,-0.2935,-0.27585,0.806828,-0.272,-0.45615,0.7951313333333334,-0.292,-0.5629500000000001,0.7375353333333333,-0.18495000000000003,-0.68935,1.0174486666666667,-0.0994,-0.4422,0.9010466666666668,-0.1616,-0.25839999999999996,0.8078766666666667,-0.2016,-0.10805,0.6232306666666668,0 days 00:00:01
2024-08-07 12:44:10,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.139985940625,-0.6594930125,5.484490971875,5.994364621875,5.7477068875,2.295230865625,5.221641359375,5.972355559375,58.276176446875,167.312049865625,19.723701484375,19.39659118125,17.154502871875,19.968795778125,19.010543821875,24.3270874,0.06021335625,0.22003403125,0.04002769375,0.06021335625,0.18003403125,0.04002769375,0.06021335625,0.14003403125,0.04002769375,0.06021335625,0.10003403125,0.04002769375,0.02021335625,0.10003403125,0.04002769375,0.02021335625,0.14003403125,0.04002769375,0.02021335625,0.18003403125,0.04002769375,0.02021335625,0.22003403125,0.04002769375,-0.01978664375,0.22003403125,0.04002769375,-0.01978664375,0.18003403125,0.04002769375,-0.01978664375,0.14003403125,0.04002769375,-0.01978664375,0.10003403125,0.04002769375,-0.05978664375,0.10003403125,0.04002769375,-0.05978664375,0.14003403125,0.04002769375,-0.05978664375,0.18003403125,0.04002769375,-0.05978664375,0.22003403125,0.04002769375,-0.16035,-0.12150000000000001,0.745844,-0.08279999999999997,-0.198,1.046166,-0.045,-0.5166,1.3842400000000001,-0.1896,-0.9546,1.425138,-0.43215000000000003,-1.23255,2.025056,-0.2826,-0.5560499999999999,1.9134940000000003,-0.19815,-0.15839999999999999,1.361008,-0.19305,-0.09975,0.879186,-0.27525,-0.17445,0.944042,-0.47624999999999995,-0.28335,1.5037880000000001,-0.7065,-0.7516499999999999,2.067648,-0.9502499999999999,-1.51095,2.291982,-1.2042000000000002,-1.75335,2.106852,-0.90015,-1.0444499999999999,1.7762799999999999,-0.5570999999999999,-0.6144,1.40239,-0.25334999999999996,-0.35205,0.9696940000000001,0 days 00:00:01
2024-08-07 12:44:14,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.215792851612903,-0.8998633612903225,7.155752438709677,5.690943806451613,6.4897029,2.6807039548387097,5.723091899999999,6.541722983870967,57.56048387741935,167.25719821935485,19.930144287096777,19.1000661516129,17.89767356451613,19.998858045161292,21.81593370967742,27.217151274193547,-0.0997804,0.22013679032258066,0.03991052258064516,-0.0997804,0.18013679032258065,0.03991052258064516,-0.0997804,0.14013679032258064,0.03991052258064516,-0.0997804,0.10013679032258065,0.03991052258064516,-0.1397804,0.10013679032258065,0.03991052258064516,-0.1397804,0.14013679032258064,0.03991052258064516,-0.1397804,0.18013679032258065,0.03991052258064516,-0.1397804,0.22013679032258066,0.03991052258064516,-0.1797804,0.22013679032258066,0.03991052258064516,-0.1797804,0.18013679032258065,0.03991052258064516,-0.1797804,0.14013679032258064,0.03991052258064516,-0.1797804,0.10013679032258065,0.03991052258064516,-0.21978040000000001,0.10013679032258065,0.03991052258064516,-0.21978040000000001,0.14013679032258064,0.03991052258064516,-0.21978040000000001,0.18013679032258065,0.03991052258064516,-0.21978040000000001,0.22013679032258066,0.03991052258064516,-0.08534999999999997,-0.61975,1.164907333333333,-0.34505,-1.03325,1.3869826666666665,-0.78425,-1.5580999999999998,1.6125266666666667,-1.1278499999999998,-2.03435,1.8837279999999998,-1.1434,-2.5140500000000006,1.9468093333333334,-0.5686,-2.0228,1.7860406666666668,-0.07965,-1.4034000000000002,1.7647446666666669,0.13394999999999999,-0.719,1.5983293333333333,-0.0405,-0.7837000000000001,2.1274219999999997,-0.2175,-1.7848499999999998,2.397574666666667,-0.647,-2.6551500000000003,2.0535313333333334,-1.271,-3.25995,1.9120420000000002,-1.1339499999999998,-3.95335,1.6208353333333332,-0.8184,-3.0312,1.91422,-0.6846,-2.0474,2.4744500000000005,-0.4986,-0.85405,2.193004,0 days 00:00:01
2024-08-07 12:44:18,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.119492031250001,-0.87488934375,5.712988028125,5.41265309375,5.961474284375,2.189260434375,7.2199357187499995,7.3402635125,57.43274689375,164.092636103125,20.159912109375,18.957900996875,17.47016905625,19.702720640625,20.52516936875,26.099395746875,-0.100244790625,0.06002278125,0.039873290625,-0.100244790625,0.02002278125,0.039873290625,-0.100244790625,-0.01997721875,0.039873290625,-0.100244790625,-0.05997721875,0.039873290625,-0.140244790625,-0.05997721875,0.039873290625,-0.140244790625,-0.01997721875,0.039873290625,-0.140244790625,0.02002278125,0.039873290625,-0.140244790625,0.06002278125,0.039873290625,-0.180244790625,0.06002278125,0.039873290625,-0.180244790625,0.02002278125,0.039873290625,-0.180244790625,-0.01997721875,0.039873290625,-0.180244790625,-0.05997721875,0.039873290625,-0.220244790625,-0.05997721875,0.039873290625,-0.220244790625,-0.01997721875,0.039873290625,-0.220244790625,0.02002278125,0.039873290625,-0.220244790625,0.06002278125,0.039873290625,-1.4916,-2.6887499999999998,2.732664,-2.05905,-4.31625,4.026396,-3.97725,-8.21235,4.68996,-8.504850000000001,-12.91185,1.627208,-9.00165,-19.1073,0.0297659999999999,-5.117850000000001,-11.29155,5.403134,-2.8614,-5.5089,4.650998,-1.86705,-3.243,3.0366160000000004,-2.1765,-4.3107,2.5134119999999998,-3.7875,-7.393350000000001,3.726558,-5.4254999999999995,-13.9269,3.045328,-6.849,-23.2362,-3.415588,-0.9792,-23.09085,-6.0606480000000005,-2.45715,-14.2227,-0.23837,-2.42235,-8.65215,1.44474,-1.6296,-5.290050000000001,1.621884,0 days 00:00:01
2024-08-07 12:44:22,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.304742793333332,-0.8619482966666666,5.33233,6.045532223333334,6.324152683333334,2.32294682,5.668123173333333,7.287742789999999,57.20703126,167.07621258,19.82523601333333,18.758138023333334,20.038248693333333,19.768880206666665,17.99784343,27.516682943333333,0.05996427333333333,0.05999263666666667,0.03995220666666666,0.05996427333333333,0.019992636666666667,0.03995220666666666,0.05996427333333333,-0.02000736333333333,0.03995220666666666,0.05996427333333333,-0.060007363333333334,0.03995220666666666,0.019964273333333334,-0.060007363333333334,0.03995220666666666,0.019964273333333334,-0.02000736333333333,0.03995220666666666,0.019964273333333334,0.019992636666666667,0.03995220666666666,0.019964273333333334,0.05999263666666667,0.03995220666666666,-0.020035726666666667,0.05999263666666667,0.03995220666666666,-0.020035726666666667,0.019992636666666667,0.03995220666666666,-0.020035726666666667,-0.02000736333333333,0.03995220666666666,-0.020035726666666667,-0.060007363333333334,0.03995220666666666,-0.060035726666666664,-0.060007363333333334,0.03995220666666666,-0.060035726666666664,-0.02000736333333333,0.03995220666666666,-0.060035726666666664,0.019992636666666667,0.03995220666666666,-0.060035726666666664,0.05999263666666667,0.03995220666666666,-0.6291000000000001,-1.1932500000000001,1.377464,-1.0953,-1.131,1.432156,-1.5765,-1.0640999999999998,1.66375,-1.86885,-0.9471,2.013198,-2.9094,-1.4823,2.790986,-2.10735,-1.62405,2.099834,-1.36515,-1.6816499999999999,1.7361080000000002,-0.8673,-1.6755,1.814516,-1.22025,-2.08245,2.075392,-1.7850000000000001,-2.4411,2.2418880000000003,-2.96775,-2.9289000000000005,2.608518,-5.10825,-3.0942,3.362832,-7.2341999999999995,-7.09485,3.063962,-3.31965,-5.08545,3.27789,-1.8396,-3.2986500000000003,2.9027900000000004,-1.3146,-2.2893000000000003,2.2740740000000006,0 days 00:00:01
2024-08-07 12:44:26,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.310260387096774,-0.869496264516129,6.186767387096774,6.970267138709677,6.1065048096774195,2.3535226516129035,8.028921732258064,8.25320049032258,57.5027958,167.03491210645163,20.08922946451613,19.014223170967743,17.42494644516129,19.848435922580645,19.1605106483871,25.99428239032258,0.21975421612903226,0.059980306451612904,0.039897748387096775,0.21975421612903226,0.019980306451612903,0.039897748387096775,0.21975421612903226,-0.020019693548387094,0.039897748387096775,0.21975421612903226,-0.06001969354838709,0.039897748387096775,0.17975421612903225,-0.06001969354838709,0.039897748387096775,0.17975421612903225,-0.020019693548387094,0.039897748387096775,0.17975421612903225,0.019980306451612903,0.039897748387096775,0.17975421612903225,0.059980306451612904,0.039897748387096775,0.13975421612903224,0.059980306451612904,0.039897748387096775,0.13975421612903224,0.019980306451612903,0.039897748387096775,0.13975421612903224,-0.020019693548387094,0.039897748387096775,0.13975421612903224,-0.06001969354838709,0.039897748387096775,0.09975421612903226,-0.06001969354838709,0.039897748387096775,0.09975421612903226,-0.020019693548387094,0.039897748387096775,0.09975421612903226,0.019980306451612903,0.039897748387096775,0.09975421612903226,0.059980306451612904,0.039897748387096775,-0.34185,-0.38175,0.519574,-0.4158,-0.27675,0.544016,-0.5077499999999999,-0.18585,0.6062099999999999,-0.5571,-0.08085,0.6918779999999999,-0.7209000000000001,-0.21255000000000002,0.8767659999999999,-0.56685,-0.26205,0.782144,-0.4689,-0.3579,0.647108,-0.40080000000000005,-0.46575,0.6117760000000001,-0.42074999999999996,-0.5779500000000001,0.744392,-0.56625,-0.48285,0.9036280000000001,-0.73425,-0.4464,1.1056979999999998,-0.98025,-0.4632,1.218712,-1.36995,-0.7176,1.610752,-1.11165,-0.7399500000000001,1.40239,-0.81285,-0.73515,1.18338,-0.45135000000000003,-0.7473,0.992684,0 days 00:00:01
2024-08-07 12:44:30,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.2367075875,-0.873484290625,5.82760870625,8.19791853125,5.446992084375,2.292099175,8.27654249375,8.58042804375,57.3961257875,166.098403946875,19.676589965625,18.992805478125,21.4605331375,23.994445809375,18.901634209375,25.242996221875,0.2199257,-0.1002527375,0.039663309375,0.2199257,-0.1402527375,0.039663309375,0.2199257,-0.1802527375,0.039663309375,0.2199257,-0.2202527375,0.039663309375,0.1799257,-0.2202527375,0.039663309375,0.1799257,-0.1802527375,0.039663309375,0.1799257,-0.1402527375,0.039663309375,0.1799257,-0.1002527375,0.039663309375,0.1399257,-0.1002527375,0.039663309375,0.1399257,-0.1402527375,0.039663309375,0.1399257,-0.1802527375,0.039663309375,0.1399257,-0.2202527375,0.039663309375,0.0999257,-0.2202527375,0.039663309375,0.0999257,-0.1802527375,0.039663309375,0.0999257,-0.1402527375,0.039663309375,0.0999257,-0.1002527375,0.039663309375,-0.6433500000000001,0.09675,0.910404,-0.6138,0.29325,1.338986,-0.5887500000000001,0.15915,1.8876,-0.61185,-0.3336,1.987788,-1.5076500000000002,-0.44955,2.350546,-1.4106,0.10095,2.2559240000000003,-1.1686500000000002,0.2061,1.538878,-0.95205,-0.0375,1.109086,-1.28025,-0.34545000000000003,1.3094620000000003,-1.7385,-0.1986,1.644148,-2.2755,-0.3001499999999999,1.9756879999999999,-2.652,-0.6282000000000001,2.039092,-3.3987,-0.9261,1.683352,-2.69265,-0.9754499999999999,1.90091,-2.06385,-0.8094,1.99771,-1.5651000000000002,-0.63855,1.7247340000000002,0 days 00:00:01
2024-08-07 12:44:34,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.279226825806452,-0.8204707580645162,5.928169403225806,6.977973438709678,6.065054790322581,2.688370119354839,5.9140334290322585,6.0020532096774195,55.92690743870968,166.7657667548387,22.91633851935484,18.80946005483871,17.58344096129032,19.81102727096774,18.899240803225805,26.34631740645161,0.06025055483870968,-0.09983591290322581,0.03981531935483871,0.06025055483870968,-0.1398359129032258,0.03981531935483871,0.06025055483870968,-0.17983591290322581,0.03981531935483871,0.06025055483870968,-0.2198359129032258,0.03981531935483871,0.020250554838709675,-0.2198359129032258,0.03981531935483871,0.020250554838709675,-0.17983591290322581,0.03981531935483871,0.020250554838709675,-0.1398359129032258,0.03981531935483871,0.020250554838709675,-0.09983591290322581,0.03981531935483871,-0.019749445161290322,-0.09983591290322581,0.03981531935483871,-0.019749445161290322,-0.1398359129032258,0.03981531935483871,-0.019749445161290322,-0.17983591290322581,0.03981531935483871,-0.019749445161290322,-0.2198359129032258,0.03981531935483871,-0.05974944516129032,-0.2198359129032258,0.03981531935483871,-0.05974944516129032,-0.17983591290322581,0.03981531935483871,-0.05974944516129032,-0.1398359129032258,0.03981531935483871,-0.05974944516129032,-0.09983591290322581,0.03981531935483871,-2.18235,-0.96575,2.6830540000000003,-2.59805,-1.42925,3.108409333333334,-3.6182499999999997,-1.8951,2.6660333333333335,-4.559850000000001,-1.44435,1.5836480000000002,-7.4204,-2.28605,1.6515693333333334,-6.3426,-3.3338,4.160867333333333,-4.75265,-2.3484000000000003,4.960758,-3.77605,-1.4969999999999999,4.182889333333334,-7.5935,-3.2196999999999996,4.868475333333333,-10.6225,-4.44785,6.200201333333333,-12.975999999999999,-5.18815,3.8895046666666673,-13.399000000000001,-2.49695,0.368082,-22.29395,-1.01835,-5.160004666666667,-22.2204,-6.7042,-1.73998,-19.2116,-8.619399999999999,1.5887300000000002,-12.6136,-7.65505,2.7399240000000002,0 days 00:00:01
2024-08-07 12:44:38,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.3255898,-0.86430759375,5.690813796875,8.0118775375,6.5745018375,2.5871939,7.906668453125,8.30009971875,58.024024959375,167.07744599375,19.96192931875,18.81179809375,20.0052261375,22.013473515625,19.01283263125,28.703880318750002,-0.099662959375,-0.099943290625,0.0399530125,-0.099662959375,-0.139943290625,0.0399530125,-0.099662959375,-0.179943290625,0.0399530125,-0.099662959375,-0.219943290625,0.0399530125,-0.139662959375,-0.219943290625,0.0399530125,-0.139662959375,-0.179943290625,0.0399530125,-0.139662959375,-0.139943290625,0.0399530125,-0.139662959375,-0.099943290625,0.0399530125,-0.17966295937500001,-0.099943290625,0.0399530125,-0.17966295937500001,-0.139943290625,0.0399530125,-0.17966295937500001,-0.179943290625,0.0399530125,-0.17966295937500001,-0.219943290625,0.0399530125,-0.219662959375,-0.219943290625,0.0399530125,-0.219662959375,-0.179943290625,0.0399530125,-0.219662959375,-0.139943290625,0.0399530125,-0.219662959375,-0.099943290625,0.0399530125,-16.2381,-15.53175,-3.306446,-25.2108,-15.078,-9.186804,-32.01225,-8.693850000000001,-15.90787,-30.88335,3.0631500000000003,-17.948172,-34.74165000000001,8.48745,-44.301004000000006,-34.5681,-14.6598,-42.894016,-27.73965,-25.833150000000003,-24.546302,-16.4253,-24.6585,-9.811164,-10.21725,-32.444700000000005,-17.203537999999998,-17.9895,-34.76835,-44.777502000000005,-23.046,-20.33415,-58.400892,-23.2275,13.3293,-56.575728,9.63555,13.9839,-55.975567999999996,8.687100000000001,-19.78995,-56.36543,6.18915,-35.4084,-49.70559,1.4454,-33.0843,-18.854945999999998,0 days 00:00:01
2024-08-07 12:44:42,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.316628638709679,-0.9228426419354839,6.20603285483871,8.917870067741935,6.893580006451613,2.4555070354838713,3.1925847709677417,7.063712306451612,57.887514177419355,167.04219695806452,22.535361019354838,19.00280368064516,16.823061048387096,19.93762600967742,19.180790070967742,26.433144841935484,-0.10035024193548386,-0.1000296806451613,0.07977195161290322,-0.10035024193548386,-0.14002968064516128,0.07977195161290322,-0.10035024193548386,-0.18002968064516128,0.07977195161290322,-0.10035024193548386,-0.2200296806451613,0.07977195161290322,-0.14035024193548387,-0.2200296806451613,0.07977195161290322,-0.14035024193548387,-0.18002968064516128,0.07977195161290322,-0.14035024193548387,-0.14002968064516128,0.07977195161290322,-0.14035024193548387,-0.1000296806451613,0.07977195161290322,-0.18035024193548388,-0.1000296806451613,0.07977195161290322,-0.18035024193548388,-0.14002968064516128,0.07977195161290322,-0.18035024193548388,-0.18002968064516128,0.07977195161290322,-0.18035024193548388,-0.2200296806451613,0.07977195161290322,-0.22035024193548386,-0.2200296806451613,0.07977195161290322,-0.22035024193548386,-0.18002968064516128,0.07977195161290322,-0.22035024193548386,-0.14002968064516128,0.07977195161290322,-0.22035024193548386,-0.1000296806451613,0.07977195161290322,-10.64035,-10.252749999999999,-5.449759333333333,-14.777050000000001,-9.07325,-9.665964,-17.59025,-4.878100000000001,-13.798033333333331,-17.08485,1.6576500000000003,-14.956245333333333,-17.1584,3.27795,-26.512390666666665,-17.456599999999998,-6.7458,-25.93263933333333,-14.085650000000001,-12.943399999999999,-17.982455333333334,-9.91205,-14.323,-10.061230666666667,-5.8655,-17.494699999999998,-14.552831333333335,-8.416500000000001,-17.045849999999998,-26.671465333333334,-9.819,-8.49315,-36.839095333333326,-9.862,4.912050000000001,-37.688838000000004,3.0950500000000005,5.324649999999999,-40.59203133333333,2.6126,-8.2452,-37.74796666666666,1.7444,-17.1754,-28.871003333333338,0.3293999999999999,-17.86005,-15.487516,0 days 00:00:01
